#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         254     2.68399     2.68482 0.000869842
         255     2.68418     2.68482 0.000866434
         256     2.68435     2.68481 0.000863052
         257     2.68451     2.68481 0.000859694
         258     2.68466     2.68481 0.000856362
         259     2.68481     2.68481 0.000853056
         260     2.68497     2.68481 0.000849775
         261     2.68513     2.68481  0.00084652
         262     2.68531     2.68482 0.000843291
         263     2.68551     2.68482 0.000840089
         264     2.68573     2.68482 0.000836914
         265     2.68597     2.68483 0.000833767
         266     2.68623     2.68483 0.000830649
         267     2.68651     2.68484 0.000827562
         268     2.68681     2.68484 0.000824507
         269     2.68714     2.68485 0.000821486
         270     2.68749     2.68486 0.000818501
         271     2.68785     2.68487 0.000815555
         272     2.68823     2.68489  0.00081265
         273     2.68862      2.6849 0.000809788
         274     2.68902     2.68492 0.000806973
         275     2.68943     2.68493 0.000804205
         276     2.68983     2.68495 0.000801488
         277     2.69025     2.68497 0.000798822
         278     2.69066     2.68499 0.000796211
         279     2.69107     2.68501 0.000793656
         280     2.69147     2.68503 0.000791157
         281     2.69186     2.68506 0.000788714
         282     2.69225     2.68508 0.000786329
         283     2.69261     2.68511 0.000784001
         284     2.69296     2.68514 0.000781727
         285     2.69328     2.68517 0.000779507
         286     2.69357      2.6852 0.000777335
         287     2.69384     2.68523  0.00077521
         288     2.69407     2.68526 0.000773127
         289     2.69427     2.68529  0.00077108
         290     2.69442     2.68532 0.000769064
         291     2.69451     2.68535 0.000767069
         292     2.69455     2.68538 0.000765088
         293     2.69452     2.68541 0.000763112
         294     2.69442     2.68544 0.000761132
         295     2.69426     2.68547 0.000759138
         296     2.69401      2.6855  0.00075712
         297     2.69367     2.68553  0.00075507
         298     2.69325     2.68556 0.000752981
         299     2.69274     2.68558 0.000750846
         300     2.69215      2.6856 0.000748663
         301     2.69148     2.68562 0.000746431
         302     2.69074     2.68564 0.000744152
         303     2.68993     2.68565 0.000741831
         304     2.68908     2.68566 0.000739476
         305     2.68818     2.68567 0.000737098
         306     2.68725     2.68568 0.000734707
         307     2.68633     2.68568 0.000732317
         308     2.68541     2.68568  0.00072994
         309     2.68453     2.68568 0.000727587
         310      2.6837     2.68567 0.000725268
         311     2.68293     2.68566 0.000722989
         312     2.68224     2.68565 0.000720755
         313     2.68164     2.68564 0.000718566
         314     2.68114     2.68562 0.000716421
         315     2.68074     2.68561 0.000714314
         316     2.68044     2.68559 0.000712241
         317     2.68025     2.68557 0.000710193
         318     2.68017     2.68556 0.000708163
         319     2.68017     2.68554 0.000706145
         320     2.68027     2.68552  0.00070413
         321     2.68044     2.68551 0.000702115
         322     2.68068     2.68549 0.000700094
         323     2.68098     2.68548 0.000698066
         324     2.68134     2.68547 0.000696028
         325     2.68172     2.68545 0.000693982
         326     2.68213     2.68544 0.000691928
         327     2.68256     2.68543 0.000689868
         328     2.68299     2.68543 0.000687805
         329     2.68339     2.68542 0.000685743
         330     2.68378     2.68542 0.000683683
         331     2.68414     2.68541 0.000681628
         332     2.68446     2.68541 0.000679581
         333     2.68472     2.68541 0.000677543
         334     2.68492     2.68541 0.000675516
         335     2.68506      2.6854 0.000673501
         336     2.68512      2.6854 0.000671497
         337     2.68512      2.6854 0.000669505
         338     2.68504      2.6854 0.000667525
         339      2.6849      2.6854 0.000665557
         340      2.6847      2.6854 0.000663603
         341     2.68444      2.6854 0.000661663
         342     2.68414     2.68539 0.000659738
         343     2.68383     2.68539 0.000657831
         344     2.68349     2.68538 0.000655941
         345     2.68316     2.68538 0.000654072
         346     2.68284     2.68537 0.000652223
         347     2.68254     2.68536 0.000650394
         348     2.68229     2.68535 0.000648585
         349     2.68208     2.68534 0.000646794
         350     2.68194     2.68533 0.000645019
         351     2.68186     2.68532 0.000643258
         352     2.68184     2.68531 0.000641506
         353     2.68188      2.6853 0.000639763
         354     2.68199     2.68529 0.000638024
         355     2.68215     2.68528 0.000636288
         356     2.68237     2.68528 0.000634554
         357     2.68265     2.68527 0.000632819
         358     2.68296     2.68526 0.000631084
         359     2.68331     2.68526  0.00062935
         360     2.68369     2.68525 0.000627617
         361     2.68409     2.68525 0.000625886
         362     2.68451     2.68525 0.000624161
         363     2.68494     2.68525 0.000622442
         364     2.68537     2.68525 0.000620732
         365      2.6858     2.68525 0.000619033
         366     2.68623     2.68525 0.000617348
         367     2.68666     2.68525 0.000615678
         368     2.68707     2.68526 0.000614024
         369     2.68746     2.68527 0.000612389
         370     2.68783     2.68527 0.000610774
         371     2.68818     2.68528 0.000609178
         372     2.68851     2.68529 0.000607602
         373     2.68882      2.6853 0.000606047
         374     2.68911     2.68531 0.000604512
         375     2.68936     2.68532 0.000602996
         376     2.68958     2.68533 0.000601499
         377     2.68977     2.68534 0.000600018
         378     2.68993     2.68535 0.000598554
         379     2.69006     2.68537 0.000597103
         380     2.69016     2.68538 0.000595665
         381     2.69023     2.68539 0.000594238
         382     2.69027     2.68541 0.000592819
         383     2.69029     2.68542 0.000591409
         384     2.69028     2.68543 0.000590004
         385     2.69024     2.68544 0.000588604
         386     2.69018     2.68546 0.000587207
         387     2.69011     2.68547 0.000585813
         388     2.69001     2.68548  0.00058442
         389      2.6899     2.68549 0.000583028
         390     2.68978      2.6855 0.000581637
         391     2.68966     2.68551 0.000580246
         392     2.68953     2.68552 0.000578857
         393     2.68942     2.68553 0.000577469
         394      2.6893     2.68554 0.000576082
         395     2.68919     2.68555 0.000574698
         396     2.68909     2.68556 0.000573316
         397     2.68902     2.68557 0.000571938
         398     2.68896     2.68558 0.000570565
         399     2.68892     2.68559 0.000569196
         400      2.6889     2.68559 0.000567834
         401     2.68892      2.6856 0.000566478
         402     2.68895     2.68561  0.00056513
         403       2.689     2.68562 0.000563791
         404     2.68907     2.68563  0.00056246
         405     2.68915     2.68564 0.000561138
         406     2.68924     2.68565 0.000559826
         407     2.68933     2.68565 0.000558524
         408     2.68942     2.68566 0.000557232
         409     2.68949     2.68567 0.000555948
         410     2.68954     2.68568 0.000554672
         411     2.68956     2.68569 0.000553402
         412     2.68953      2.6857 0.000552137
         413     2.68945     2.68571 0.000550875
         414     2.68932     2.68572 0.000549614
         415     2.68912     2.68573  0.00054835
         416     2.68886     2.68573 0.000547084
         417     2.68853     2.68574 0.000545813
         418     2.68814     2.68575 0.000544537
         419     2.68769     2.68575 0.000543258
         420     2.68719     2.68576 0.000541975
         421     2.68667     2.68576 0.000540692
         422      2.6861     2.68576 0.000539411
         423     2.68553     2.68576 0.000538136
         424     2.68496     2.68576  0.00053687
         425     2.68441     2.68575 0.000535617
         426      2.6839     2.68575 0.000534377
         427     2.68345     2.68574 0.000533153
         428     2.68306     2.68574 0.000531944
         429     2.68275     2.68573 0.000530749
         430     2.68251     2.68572 0.000529568
         431     2.68236     2.68571 0.000528396
         432     2.68231     2.68571 0.000527232
         433     2.68233      2.6857 0.000526072
         434     2.68244     2.68569 0.000524914
         435     2.68263     2.68568 0.000523754
         436      2.6829     2.68568 0.000522592
         437     2.68321     2.68567 0.000521426
         438     2.68358     2.68567 0.000520258
         439       2.684     2.68566 0.000519087
         440     2.68444     2.68566 0.000517914
         441     2.68492     2.68566 0.000516743
         442     2.68541     2.68566 0.000515574
         443     2.68591     2.68566  0.00051441
         444     2.68641     2.68566 0.000513255
         445     2.68691     2.68566 0.000512109
         446     2.68739     2.68567 0.000510975
         447     2.68786     2.68567 0.000509856
         448     2.68831     2.68568 0.000508752
         449     2.68873     2.68568 0.000507664
         450     2.68912     2.68569 0.000506593
         451     2.68948      2.6857  0.00050554
         452     2.68979     2.68571 0.000504502
         453     2.69007     2.68572  0.00050348
         454      2.6903     2.68573 0.000502472
         455     2.69049     2.68574 0.000501477
         456     2.69064     2.68575 0.000500492
         457     2.69075     2.68576 0.000499517
         458     2.69083     2.68577 0.000498549
         459     2.69086     2.68578 0.000497586
         460     2.69086      2.6858 0.000496627
         461     2.69084     2.68581  0.00049567
         462      2.6908     2.68582 0.000494715
         463     2.69073     2.68583  0.00049376
         464     2.69065     2.68584 0.000492806
         465     2.69057     2.68585 0.000491851
         466     2.69048     2.68586 0.000490896
         467     2.69041     2.68587 0.000489941
         468     2.69035     2.68588 0.000488988
         469     2.69031     2.68589 0.000488036
         470     2.69028      2.6859 0.000487088
         471     2.69029     2.68591 0.000486143
         472     2.69032     2.68591 0.000485203
         473     2.69039     2.68592  0.00048427
         474     2.69048     2.68593 0.000483343
         475      2.6906     2.68594 0.000482426
         476     2.69075     2.68595 0.000481518
         477     2.69091     2.68596 0.000480621
         478     2.69109     2.68597 0.000479735
         479     2.69128     2.68599 0.000478861
         480     2.69146       2.686 0.000477999
         481     2.69165     2.68601  0.00047715
         482     2.69185     2.68602 0.000476314
         483     2.69203     2.68603  0.00047549
         484     2.69221     2.68605 0.000474679
         485     2.69238     2.68606  0.00047388
         486     2.69255     2.68607 0.000473092
         487     2.69271     2.68609 0.000472317
         488     2.69288      2.6861 0.000471554
         489     2.69306     2.68611 0.000470805
         490     2.69324     2.68613 0.000470068
         491     2.69344     2.68614 0.000469347
         492     2.69365     2.68616 0.000468641
         493     2.69387     2.68617 0.000467951
         494     2.69409     2.68619 0.000467278
         495      2.6943     2.68621 0.000466621
         496     2.69448     2.68622 0.000465979
         497     2.69459     2.68624 0.000465345
         498     2.69462     2.68626 0.000464715
         499     2.69454     2.68627 0.000464079
         500     2.69429     2.68629 0.000463428
         501     2.69387     2.68631 0.000462751
         502     2.69325     2.68632 0.000462035
         503     2.69239     2.68633 0.000461274
         504     2.69131     2.68634 0.000460465
         505        2.69     2.68635  0.00045961
         506     2.68849     2.68635 0.000458721
         507     2.68685     2.68635 0.000457817
         508     2.68511     2.68635 0.000456923
         509     2.68334     2.68635 0.000456063
         510     2.68161     2.68634 0.000455264
         511        2.68     2.68632 0.000454542
         512     2.67856     2.68631 0.000453907
         513     2.67733     2.68629  0.00045336
         514     2.67637     2.68627 0.000452888
         515     2.67568     2.68625 0.000452476
         516     2.67526     2.68623   0.0004521
         517      2.6751     2.68621 0.000451738
         518     2.67518     2.68619 0.000451367
         519     2.67547     2.68617  0.00045097
         520     2.67593     2.68615 0.000450532
         521     2.67652     2.68613 0.000450046
         522     2.67722     2.68611 0.000449507
         523     2.67799      2.6861 0.000448915
         524     2.67881     2.68608 0.000448274
         525     2.67966     2.68607 0.000447587
         526      2.6805     2.68606 0.000446861
         527     2.68133     2.68605 0.000446104
         528     2.68213     2.68604 0.000445321
         529     2.68292     2.68604 0.000444518
         530     2.68368     2.68603 0.000443702
         531     2.68439     2.68603 0.000442877
         532     2.68507     2.68603 0.000442048
         533      2.6857     2.68603 0.000441219
         534     2.68629     2.68603 0.000440393
         535     2.68685     2.68603 0.000439572
         536     2.68737     2.68603 0.000438759
         537     2.68784     2.68603 0.000437955
         538     2.68828     2.68604 0.000437161
         539     2.68866     2.68604 0.000436377
         540     2.68901     2.68605 0.000435604
         541     2.68931     2.68606  0.00043484
         542     2.68955     2.68606 0.000434086
         543     2.68974     2.68607 0.000433339
         544     2.68988     2.68608 0.000432599
         545     2.68995     2.68608 0.000431864
         546     2.68995     2.68609 0.000431131
         547     2.68988      2.6861 0.000430399
         548     2.68975      2.6861 0.000429665
         549     2.68953     2.68611 0.000428928
         550     2.68924     2.68611 0.000428186
         551     2.68889     2.68612 0.000427438
         552     2.68848     2.68612 0.000426685
         553     2.68801     2.68613 0.000425927
         554     2.68751     2.68613 0.000425166
         555     2.68697     2.68613 0.000424402
         556     2.68642     2.68613 0.000423639
         557     2.68585     2.68613 0.000422879
         558      2.6853     2.68613 0.000422124
         559     2.68477     2.68613 0.000421376
         560     2.68426     2.68612 0.000420636
         561      2.6838     2.68612 0.000419907
         562     2.68339     2.68612 0.000419188
         563     2.68305     2.68611 0.000418479
         564     2.68277      2.6861 0.000417779
         565     2.68256      2.6861 0.000417086
         566     2.68241     2.68609   0.0004164
         567     2.68234     2.68608 0.000415718
         568     2.68234     2.68608 0.000415039
         569     2.68239     2.68607  0.00041436
         570      2.6825     2.68607  0.00041368
         571     2.68267     2.68606 0.000412999
         572     2.68288     2.68605 0.000412314
         573     2.68313     2.68605 0.000411626
         574     2.68341     2.68604 0.000410935
         575     2.68372     2.68604  0.00041024
         576     2.68406     2.68604 0.000409542
         577     2.68441     2.68603 0.000408842
         578     2.68478     2.68603  0.00040814
         579     2.68517     2.68603 0.000407438
         580     2.68555     2.68603 0.000406736
         581     2.68595     2.68603 0.000406036
         582     2.68634     2.68603 0.000405339
         583     2.68673     2.68603 0.000404645
         584      2.6871     2.68603 0.000403957
         585     2.68748     2.68604 0.000403274
         586     2.68785     2.68604 0.000402598
         587     2.68821     2.68604 0.000401929
         588     2.68856     2.68605 0.000401268
         589     2.68889     2.68605 0.000400616
         590     2.68922     2.68606 0.000399972
         591     2.68953     2.68606 0.000399339
         592     2.68984     2.68607 0.000398715
         593     2.69013     2.68608 0.000398102
         594     2.69041     2.68608 0.000397499
         595     2.69069     2.68609 0.000396906
         596     2.69095      2.6861 0.000396324
         597     2.69121     2.68611 0.000395752
         598     2.69145     2.68612 0.000395191
         599     2.69168     2.68613 0.000394641
         600      2.6919     2.68614 0.000394101
         601     2.69212     2.68615 0.000393571
         602     2.69233     2.68616 0.000393051
         603     2.69253     2.68617 0.000392541
         604     2.69271     2.68618 0.000392041
         605     2.69289     2.68619  0.00039155
         606     2.69306      2.6862 0.000391068
         607     2.69322     2.68621 0.000390595
         608     2.69336     2.68622 0.000390129
         609      2.6935     2.68623 0.000389672
         610     2.69362     2.68625 0.000389221
         611     2.69373     2.68626 0.000388776
         612     2.69381     2.68627 0.000388337
         613     2.69388     2.68628 0.000387901
         614     2.69394      2.6863  0.00038747
         615     2.69397     2.68631 0.000387041
         616       2.694     2.68632 0.000386614
         617     2.69399     2.68633 0.000386187
         618     2.69397     2.68635  0.00038576
         619     2.69394     2.68636 0.000385332
         620     2.69389     2.68637 0.000384902
         621     2.69382     2.68638 0.000384469
         622     2.69374     2.68639 0.000384032
         623     2.69363     2.68641 0.000383591
         624     2.69352     2.68642 0.000383146
         625     2.69339     2.68643 0.000382695
         626     2.69326     2.68644  0.00038224
         627     2.69311     2.68645 0.000381778
         628     2.69295     2.68646  0.00038131
         629     2.69279     2.68647 0.000380837
         630     2.69261     2.68648 0.000380357
         631     2.69243     2.68649 0.000379872
         632     2.69224      2.6865  0.00037938
         633     2.69204     2.68651 0.000378881
         634     2.69182     2.68652 0.000378376
         635     2.69158     2.68652 0.000377865
         636     2.69134     2.68653 0.000377346
         637     2.69107     2.68654 0.000376821
         638     2.69078     2.68655 0.000376289
         639     2.69046     2.68655  0.00037575
         640     2.69012     2.68656 0.000375204
         641     2.68975     2.68656 0.000374652
         642     2.68935     2.68657 0.000374094
         643     2.68893     2.68657  0.00037353
         644     2.68848     2.68657 0.000372962
         645     2.68802     2.68657  0.00037239
         646     2.68754     2.68658 0.000371817
         647     2.68706     2.68658 0.000371243
         648     2.68658     2.68658  0.00037067
         649     2.68611     2.68658 0.000370099
         650     2.68566     2.68658 0.000369533
         651     2.68523     2.68657 0.000368971
         652     2.68483     2.68657 0.000368415
         653     2.68449     2.68657 0.000367864
         654     2.68418     2.68656  0.00036732
         655     2.68393     2.68656 0.000366781
         656     2.68374     2.68656 0.000366247
         657      2.6836     2.68655 0.000365717
         658     2.68352     2.68655 0.000365191
         659     2.68348     2.68654 0.000364666
         660     2.68351     2.68654 0.000364142
         661     2.68358     2.68653 0.000363619
         662     2.68369     2.68653 0.000363095
         663     2.68383     2.68652  0.00036257
         664     2.68401     2.68652 0.000362044
         665     2.68422     2.68652 0.000361516
         666     2.68445     2.68651 0.000360987
         667     2.68469     2.68651 0.000360456
         668     2.68493     2.68651 0.000359924
         669     2.68519     2.68651 0.000359391
         670     2.68544      2.6865 0.000358859
         671      2.6857      2.6865 0.000358326
         672     2.68594      2.6865 0.000357794
         673     2.68619      2.6865 0.000357262
         674     2.68642      2.6865 0.000356732
         675     2.68663      2.6865 0.000356204
         676     2.68683      2.6865 0.000355677
         677     2.68702      2.6865 0.000355153
         678     2.68718      2.6865  0.00035463
         679     2.68734     2.68651  0.00035411
         680     2.68747     2.68651 0.000353592
         681     2.68759     2.68651 0.000353076
         682      2.6877     2.68651 0.000352563
         683     2.68779     2.68651 0.000352052
         684     2.68785     2.68651 0.000351543
         685     2.68791     2.68652 0.000351035
         686     2.68794     2.68652  0.00035053
         687     2.68796     2.68652 0.000350026
         688     2.68796     2.68652 0.000349523
         689     2.68795     2.68652 0.000349022
         690     2.68792     2.68653 0.000348522
         691     2.68788     2.68653 0.000348023
         692     2.68783     2.68653 0.000347525
         693     2.68777     2.68653 0.000347029
         694      2.6877     2.68653 0.000346533
         695     2.68763     2.68654 0.000346038
         696     2.68755     2.68654 0.000345543
