#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         212    -1.52706    -1.45192   0.0177257
         213    -1.52025    -1.45224   0.0176454
         214    -1.51439    -1.45253   0.0175653
         215     -1.5096     -1.4528   0.0174857
         216    -1.50598    -1.45304   0.0174064
         217    -1.50362    -1.45328   0.0173278
         218    -1.50256     -1.4535   0.0172498
         219    -1.50281    -1.45373   0.0171725
         220    -1.50438    -1.45396    0.017096
         221    -1.50722     -1.4542   0.0170203
         222     -1.5113    -1.45446   0.0169456
         223    -1.51654    -1.45473   0.0168719
         224    -1.52284    -1.45504   0.0167993
         225    -1.53011    -1.45537   0.0167279
         226    -1.53823    -1.45574   0.0166579
         227    -1.54709    -1.45614   0.0165894
         228    -1.55657    -1.45658   0.0165225
         229    -1.56654    -1.45706   0.0164573
         230    -1.57688    -1.45758    0.016394
         231    -1.58745    -1.45814   0.0163327
         232    -1.59815    -1.45875   0.0162734
         233    -1.60884    -1.45939   0.0162163
         234    -1.61941    -1.46008   0.0161614
         235    -1.62976     -1.4608   0.0161088
         236     -1.6398    -1.46156   0.0160584
         237    -1.64945    -1.46235   0.0160102
         238    -1.65865    -1.46317   0.0159641
         239    -1.66733    -1.46403   0.0159202
         240    -1.67547    -1.46491   0.0158782
         241    -1.68304    -1.46581   0.0158381
         242    -1.69002    -1.46674   0.0157997
         243    -1.69643    -1.46769    0.015763
         244    -1.70227    -1.46865   0.0157277
         245    -1.70757    -1.46962   0.0156937
         246    -1.71235    -1.47061   0.0156609
         247    -1.71665    -1.47161   0.0156291
         248    -1.72052    -1.47261   0.0155983
         249    -1.72399    -1.47362   0.0155683
         250     -1.7271    -1.47463    0.015539
         251     -1.7299    -1.47565   0.0155103
         252    -1.73243    -1.47667   0.0154822
         253    -1.73471    -1.47769   0.0154546
         254    -1.73678    -1.47871   0.0154273
         255    -1.73868    -1.47973   0.0154005
         256    -1.74039    -1.48075    0.015374
         257    -1.74196    -1.48176   0.0153477
         258    -1.74337    -1.48278   0.0153217
         259    -1.74463    -1.48379   0.0152958
         260    -1.74574    -1.48479   0.0152701
         261    -1.74668     -1.4858   0.0152446
         262    -1.74745     -1.4868   0.0152191
         263    -1.74801    -1.48779   0.0151936
         264    -1.74836    -1.48878    0.015168
         265    -1.74847    -1.48976   0.0151424
         266    -1.74832    -1.49073   0.0151167
         267    -1.74789    -1.49169   0.0150907
         268    -1.74716    -1.49265   0.0150645
         269     -1.7461    -1.49359   0.0150379
         270    -1.74469    -1.49452   0.0150109
         271    -1.74293    -1.49543   0.0149835
         272    -1.74079    -1.49634   0.0149556
         273    -1.73826    -1.49722    0.014927
         274    -1.73533    -1.49809   0.0148978
         275    -1.73198    -1.49894   0.0148679
         276    -1.72825    -1.49977   0.0148372
         277    -1.72409    -1.50058   0.0148057
         278    -1.71951    -1.50137   0.0147734
         279    -1.71454    -1.50213   0.0147402
         280    -1.70916    -1.50287   0.0147061
         281    -1.70339    -1.50359    0.014671
         282    -1.69725    -1.50427   0.0146351
         283    -1.69074    -1.50493   0.0145982
         284     -1.6839    -1.50556   0.0145604
         285    -1.67674    -1.50616   0.0145217
         286    -1.66929    -1.50673   0.0144821
         287    -1.66157    -1.50727   0.0144417
         288    -1.65363    -1.50778   0.0144005
         289    -1.64549    -1.50826   0.0143585
         290    -1.63722     -1.5087   0.0143159
         291    -1.62886    -1.50912   0.0142727
         292    -1.62047     -1.5095   0.0142289
         293    -1.61211    -1.50985   0.0141846
         294    -1.60385    -1.51017     0.01414
         295    -1.59576    -1.51046    0.014095
         296    -1.58793    -1.51072   0.0140498
         297    -1.58044    -1.51095   0.0140045
         298    -1.57338    -1.51116   0.0139591
         299    -1.56682    -1.51135   0.0139136
