#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         199     2.87852      2.7525   0.0124702
         200     2.87612     2.75312   0.0124231
         201       2.873     2.75372   0.0123756
         202     2.86924     2.75429   0.0123276
         203     2.86489     2.75483   0.0122789
         204     2.86003     2.75535   0.0122295
         205     2.85473     2.75583   0.0121795
         206     2.84909     2.75629   0.0121287
         207     2.84321     2.75671   0.0120774
         208     2.83717     2.75709   0.0120255
         209      2.8311     2.75745   0.0119732
         210      2.8251     2.75777   0.0119205
         211      2.8193     2.75806   0.0118676
         212     2.81381     2.75832   0.0118145
         213     2.80874     2.75856   0.0117614
         214     2.80421     2.75877   0.0117084
         215      2.8003     2.75897   0.0116556
         216     2.79711     2.75914   0.0116029
         217      2.7947     2.75931   0.0115506
         218     2.79313     2.75946   0.0114987
         219     2.79242     2.75961   0.0114472
         220     2.79259     2.75976   0.0113961
         221     2.79364     2.75992   0.0113456
         222     2.79553     2.76008   0.0112956
         223     2.79825     2.76025   0.0112462
         224     2.80174     2.76043   0.0111976
         225     2.80593     2.76063   0.0111496
         226     2.81078     2.76086   0.0111025
         227     2.81619      2.7611   0.0110563
         228     2.82209     2.76137    0.011011
         229     2.82841     2.76166   0.0109668
         230     2.83505     2.76198   0.0109238
         231     2.84194     2.76233    0.010882
         232     2.84898      2.7627   0.0108415
         233     2.85611      2.7631   0.0108023
         234     2.86323     2.76353   0.0107647
         235     2.87027     2.76398   0.0107284
         236     2.87717     2.76446   0.0106937
         237     2.88387     2.76497   0.0106604
         238      2.8903     2.76549   0.0106286
         239     2.89644     2.76604   0.0105983
         240     2.90223     2.76661   0.0105693
         241     2.90766     2.76719   0.0105416
         242      2.9127     2.76779   0.0105152
         243     2.91736     2.76841   0.0104899
         244     2.92164     2.76904   0.0104657
         245     2.92553     2.76968   0.0104425
         246     2.92906     2.77032   0.0104201
         247     2.93225     2.77098   0.0103985
         248     2.93513     2.77164   0.0103776
         249      2.9377     2.77231   0.0103574
         250     2.94002     2.77298   0.0103376
         251      2.9421     2.77365   0.0103184
         252     2.94397     2.77433   0.0102996
         253     2.94566     2.77501   0.0102811
         254     2.94718     2.77568   0.0102629
         255     2.94857     2.77636    0.010245
         256     2.94983     2.77704   0.0102274
         257     2.95098     2.77772     0.01021
         258     2.95202     2.77839   0.0101927
         259     2.95296     2.77907   0.0101756
         260      2.9538     2.77974   0.0101587
         261     2.95454     2.78041   0.0101418
         262     2.95517     2.78107    0.010125
         263     2.95568     2.78174   0.0101083
         264     2.95606      2.7824   0.0100915
         265     2.95629     2.78306   0.0100747
         266     2.95637     2.78371   0.0100579
         267     2.95627     2.78435    0.010041
         268     2.95598     2.78499   0.0100239
         269      2.9555     2.78563   0.0100067
         270     2.95479     2.78625  0.00998921
         271     2.95386     2.78687  0.00997148
         272     2.95268     2.78748  0.00995343
         273     2.95125     2.78808  0.00993504
         274     2.94956     2.78867  0.00991624
         275     2.94761     2.78925  0.00989701
         276     2.94539     2.78981  0.00987731
         277     2.94289     2.79037   0.0098571
         278     2.94012     2.79091  0.00983635
         279     2.93707     2.79143  0.00981503
         280     2.93375     2.79194  0.00979313
         281     2.93017     2.79243  0.00977063
         282     2.92633     2.79291  0.00974751
         283     2.92224     2.79336  0.00972377
         284     2.91791      2.7938  0.00969942
         285     2.91335     2.79422  0.00967445
         286     2.90857     2.79462  0.00964888
         287     2.90361       2.795  0.00962273
         288     2.89847     2.79536  0.00959603
         289     2.89318      2.7957  0.00956879
         290     2.88776     2.79601  0.00954106
         291     2.88225     2.79631  0.00951287
         292     2.87668     2.79659  0.00948427
         293     2.87109     2.79684  0.00945531
         294     2.86552     2.79707  0.00942604
         295     2.86001     2.79729   0.0093965
