#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         251     1.16587     1.28639   0.0207795
         252     1.16776     1.28592   0.0207023
         253     1.16946     1.28546   0.0206256
         254     1.17099     1.28501   0.0205493
         255     1.17235     1.28457   0.0204735
         256     1.17354     1.28414   0.0203981
         257     1.17457     1.28371   0.0203232
         258     1.17545     1.28329   0.0202488
         259     1.17619     1.28288   0.0201748
         260      1.1768     1.28247   0.0201013
         261     1.17728     1.28207   0.0200284
         262     1.17765     1.28167   0.0199559
         263     1.17791     1.28127   0.0198839
         264     1.17807     1.28088   0.0198124
         265     1.17815     1.28049   0.0197415
         266     1.17814     1.28011    0.019671
         267     1.17805     1.27973    0.019601
         268     1.17791     1.27935   0.0195316
         269      1.1777     1.27897   0.0194626
         270     1.17743     1.27859   0.0193942
         271     1.17712     1.27822   0.0193262
         272     1.17677     1.27785   0.0192588
         273     1.17637     1.27747   0.0191918
         274     1.17594      1.2771   0.0191253
         275     1.17548     1.27673   0.0190594
         276     1.17499     1.27637   0.0189939
         277     1.17447       1.276   0.0189289
         278     1.17392     1.27563   0.0188643
         279     1.17335     1.27526   0.0188003
         280     1.17275      1.2749   0.0187367
         281     1.17213     1.27453   0.0186736
         282     1.17148     1.27417    0.018611
         283      1.1708      1.2738   0.0185488
         284     1.17009     1.27344   0.0184871
         285     1.16934     1.27307   0.0184258
         286     1.16856     1.27271    0.018365
         287     1.16774     1.27234   0.0183046
         288     1.16687     1.27197   0.0182448
         289     1.16596     1.27161   0.0181853
         290       1.165     1.27124   0.0181263
         291     1.16398     1.27087   0.0180678
         292      1.1629      1.2705   0.0180097
         293     1.16177     1.27013    0.017952
         294     1.16056     1.26976   0.0178948
         295     1.15929     1.26938   0.0178381
         296     1.15794     1.26901   0.0177818
         297     1.15652     1.26863    0.017726
         298     1.15503     1.26825   0.0176706
         299     1.15345     1.26786   0.0176157
         300      1.1518     1.26748   0.0175612
         301     1.15007     1.26709   0.0175072
         302     1.14826     1.26669   0.0174536
         303     1.14638      1.2663   0.0174005
         304     1.14443     1.26589   0.0173479
         305      1.1424     1.26549   0.0172958
         306     1.14032     1.26508   0.0172441
         307     1.13818     1.26467   0.0171929
         308     1.13598     1.26425   0.0171421
         309     1.13374     1.26383   0.0170918
         310     1.13146      1.2634    0.017042
         311     1.12914     1.26297   0.0169927
         312      1.1268     1.26253   0.0169439
         313     1.12443     1.26209   0.0168955
         314     1.12205     1.26164   0.0168475
         315     1.11966     1.26119   0.0168001
         316     1.11726     1.26074   0.0167531
         317     1.11486     1.26028   0.0167066
         318     1.11245     1.25981   0.0166605
         319     1.11004     1.25934   0.0166149
         320     1.10764     1.25887   0.0165697
         321     1.10523     1.25839    0.016525
         322     1.10282     1.25791   0.0164808
         323     1.10041     1.25742   0.0164369
         324     1.09799     1.25693   0.0163936
         325     1.09556     1.25643   0.0163506
         326     1.09313     1.25593   0.0163082
         327     1.09068     1.25543   0.0162661
         328     1.08822     1.25492   0.0162245
         329     1.08575      1.2544   0.0161833
         330     1.08327     1.25388   0.0161426
         331     1.08077     1.25336   0.0161023
         332     1.07826     1.25283   0.0160624
         333     1.07574      1.2523    0.016023
         334     1.07321     1.25176    0.015984
         335     1.07069     1.25122   0.0159454
         336     1.06818     1.25068   0.0159073
         337     1.06569     1.25013   0.0158695
         338     1.06323     1.24958   0.0158322
         339     1.06081     1.24902   0.0157953
         340     1.05844     1.24846   0.0157588
         341     1.05615      1.2479   0.0157227
         342     1.05394     1.24733   0.0156869
         343     1.05182     1.24676   0.0156515
         344     1.04981     1.24619   0.0156165
         345     1.04793     1.24561   0.0155818
         346     1.04619     1.24504   0.0155474
         347      1.0446     1.24446   0.0155134
         348     1.04317     1.24388   0.0154796
         349     1.04192      1.2433    0.015446
         350     1.04085     1.24272   0.0154127
         351     1.03998     1.24214   0.0153796
         352      1.0393     1.24157   0.0153467
         353     1.03883     1.24099    0.015314
         354     1.03856     1.24042   0.0152814
         355      1.0385     1.23985   0.0152489
         356     1.03865     1.23929   0.0152166
         357     1.03901     1.23873   0.0151843
         358     1.03957     1.23817   0.0151521
         359     1.04033     1.23762   0.0151199
         360     1.04129     1.23707   0.0150877
         361     1.04243     1.23654   0.0150555
         362     1.04375       1.236   0.0150234
         363     1.04524     1.23548   0.0149912
         364     1.04688     1.23496   0.0149589
         365     1.04867     1.23445   0.0149267
         366     1.05059     1.23395   0.0148943
         367     1.05263     1.23345   0.0148619
         368     1.05478     1.23297   0.0148295
         369     1.05702     1.23249    0.014797
         370     1.05934     1.23202   0.0147644
         371     1.06172     1.23156   0.0147317
         372     1.06415     1.23111    0.014699
         373     1.06662     1.23067   0.0146662
         374     1.06911     1.23024   0.0146333
         375     1.07161     1.22982   0.0146004
         376     1.07412      1.2294   0.0145674
         377      1.0766       1.229   0.0145344
         378     1.07907      1.2286   0.0145014
         379      1.0815     1.22821   0.0144683
         380     1.08389     1.22783   0.0144352
         381     1.08623     1.22746   0.0144021
         382     1.08851      1.2271    0.014369
         383     1.09073     1.22674   0.0143359
         384     1.09287     1.22639   0.0143028
         385     1.09494     1.22605   0.0142698
