#     TEMP:   ACTUAL_TE:    TE_AVE:      ERROR:
         226    -3.82767    -3.82107 0.000879863
         227    -3.82843     -3.8211 0.000876584
         228    -3.82812    -3.82114 0.000873279
         229    -3.82825    -3.82117 0.000870018
         230    -3.82866     -3.8212 0.000866845
         231    -3.82844    -3.82123 0.000863659
         232    -3.82865    -3.82126 0.000860529
         233    -3.82944     -3.8213  0.00085755
         234    -3.82973    -3.82133 0.000854643
         235    -3.83029    -3.82137 0.000851856
         236    -3.83067    -3.82141 0.000849156
         237    -3.83039    -3.82145 0.000846419
         238    -3.83038    -3.82149 0.000843694
         239    -3.83034    -3.82152 0.000840976
         240    -3.83011    -3.82156 0.000838232
         241    -3.83014     -3.8216  0.00083551
         242    -3.83045    -3.82163 0.000832858
         243    -3.83073    -3.82167 0.000830271
         244    -3.83068    -3.82171 0.000827689
         245     -3.8306    -3.82174 0.000825107
         246    -3.83067    -3.82178  0.00082255
         247    -3.83041    -3.82181 0.000819962
         248    -3.83015    -3.82185 0.000817344
         249    -3.82972    -3.82188 0.000814673
         250    -3.82915    -3.82191 0.000811933
         251    -3.82872    -3.82193 0.000809152
         252    -3.82876    -3.82196 0.000806394
         253    -3.82849    -3.82199  0.00080362
         254    -3.82778    -3.82201 0.000800779
         255    -3.82768    -3.82203 0.000797948
         256    -3.82759    -3.82205 0.000795126
         257    -3.82737    -3.82208 0.000792301
         258    -3.82745     -3.8221 0.000789504
         259    -3.82756    -3.82212 0.000786737
         260    -3.82707    -3.82214 0.000783942
         261    -3.82689    -3.82215  0.00078115
         262    -3.82658    -3.82217 0.000778351
         263    -3.82628    -3.82219 0.000775548
         264    -3.82599     -3.8222 0.000772745
         265    -3.82572    -3.82221 0.000769943
         266    -3.82531    -3.82223 0.000767136
         267    -3.82521    -3.82224 0.000764344
         268    -3.82527    -3.82225 0.000761575
         269    -3.82549    -3.82226 0.000758839
         270    -3.82526    -3.82227  0.00075611
         271     -3.8255    -3.82228 0.000753414
         272    -3.82529    -3.82229 0.000750725
         273    -3.82508    -3.82231 0.000748045
         274    -3.82519    -3.82232 0.000745388
         275    -3.82499    -3.82233 0.000742741
         276    -3.82434    -3.82233 0.000740086
         277      -3.824    -3.82234 0.000737439
         278    -3.82351    -3.82234 0.000734798
         279    -3.82362    -3.82235 0.000732179
         280    -3.82404    -3.82235 0.000729589
         281     -3.8243    -3.82236 0.000727026
         282    -3.82456    -3.82237 0.000724489
         283    -3.82466    -3.82238 0.000721974
         284      -3.824    -3.82238 0.000719455
         285     -3.8235    -3.82239 0.000716941
         286    -3.82359    -3.82239 0.000714447
         287    -3.82307    -3.82239 0.000711961
         288      -3.823    -3.82239 0.000709492
         289    -3.82293     -3.8224  0.00070704
         290      -3.823     -3.8224 0.000704605
         291    -3.82261     -3.8224 0.000702184
         292    -3.82297     -3.8224 0.000699782
         293    -3.82272     -3.8224 0.000697394
         294    -3.82292     -3.8224 0.000695025
         295    -3.82236     -3.8224 0.000692669
         296    -3.82209     -3.8224 0.000690329
         297    -3.82183     -3.8224 0.000688008
         298    -3.82201     -3.8224   0.0006857
         299    -3.82175     -3.8224  0.00068341
         300    -3.82133    -3.82239 0.000681142
         301    -3.82076    -3.82239   0.0006789
         302    -3.82034    -3.82238 0.000676686
         303    -3.82023    -3.82237  0.00067449
         304    -3.81998    -3.82237 0.000672317
         305    -3.81958    -3.82236 0.000670175
         306    -3.81995    -3.82235 0.000668031
         307    -3.82017    -3.82234 0.000665893
         308    -3.81995    -3.82233 0.000663776
         309    -3.81989    -3.82233 0.000661675
         310    -3.81939    -3.82232 0.000659608
         311    -3.81919    -3.82231 0.000657564
         312    -3.81916     -3.8223 0.000655533
         313    -3.81899    -3.82229 0.000653524
         314    -3.81912    -3.82228 0.000651521
         315    -3.81881    -3.82227 0.000649546
         316    -3.81895    -3.82226 0.000647575
         317     -3.8188    -3.82224 0.000645624
         318    -3.81864    -3.82223 0.000643693
         319    -3.81864    -3.82222 0.000641773
         320    -3.81849    -3.82221 0.000639874
         321    -3.81879     -3.8222 0.000637969
         322    -3.81879    -3.82219 0.000636075
         323    -3.81863    -3.82218 0.000634201
         324    -3.81817    -3.82217 0.000632365
         325    -3.81845    -3.82215 0.000630522
         326    -3.81798    -3.82214 0.000628718
         327    -3.81857    -3.82213  0.00062689
         328    -3.81825    -3.82212  0.00062509
         329    -3.81838    -3.82211 0.000623294
         330    -3.81881     -3.8221 0.000621485
         331     -3.8191    -3.82209 0.000619673
         332    -3.81909    -3.82208 0.000617873
         333    -3.81908    -3.82207 0.000616083
         334    -3.81863    -3.82206 0.000614325
         335    -3.81864    -3.82205 0.000612576
         336    -3.81867    -3.82204 0.000610835
         337    -3.81841    -3.82203 0.000609117
         338    -3.81817    -3.82202 0.000607422
         339     -3.8178      -3.822 0.000605758
         340     -3.8173    -3.82199 0.000604134
         341    -3.81712    -3.82198 0.000602532
         342    -3.81726    -3.82196 0.000600928
         343    -3.81773    -3.82195 0.000599303
         344    -3.81791    -3.82194 0.000597675
         345    -3.81842    -3.82193  0.00059603
         346    -3.81895    -3.82192 0.000594369
         347    -3.81829    -3.82191 0.000592749
         348    -3.81885     -3.8219  0.00059111
         349    -3.81883    -3.82189 0.000589482
         350    -3.81897    -3.82188 0.000587857
         351    -3.81941    -3.82188 0.000586225
         352    -3.81957    -3.82187 0.000584596
         353    -3.81988    -3.82186 0.000582967
