#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         257    -5.58922    -5.74764   0.0303287
         258    -5.59063    -5.74703   0.0302172
         259    -5.59184    -5.74643   0.0301065
         260    -5.59226    -5.74584   0.0299965
         261    -5.59281    -5.74525   0.0298873
         262    -5.59305    -5.74467   0.0297789
         263    -5.59315     -5.7441   0.0296712
         264     -5.5931    -5.74353   0.0295644
         265    -5.59294    -5.74296   0.0294583
         266    -5.59251    -5.74239   0.0293529
         267    -5.59229    -5.74183   0.0292484
         268    -5.59213    -5.74127   0.0291446
         269    -5.59203    -5.74072   0.0290415
         270    -5.59141    -5.74016   0.0289392
         271    -5.59118    -5.73961   0.0288377
         272    -5.59044    -5.73906   0.0287369
         273    -5.58964    -5.73852   0.0286368
         274     -5.5891    -5.73797   0.0285375
         275    -5.58821    -5.73743   0.0284389
         276    -5.58682    -5.73688   0.0283411
         277     -5.5857    -5.73634    0.028244
         278    -5.58439    -5.73579   0.0281477
         279    -5.58365    -5.73524   0.0280521
         280    -5.58317     -5.7347   0.0279572
         281     -5.5825    -5.73416    0.027863
         282    -5.58178    -5.73362   0.0277694
         283    -5.58086    -5.73308   0.0276765
         284    -5.57914    -5.73254   0.0275844
         285    -5.57751    -5.73199   0.0274929
         286    -5.57643    -5.73145   0.0274022
         287    -5.57468     -5.7309   0.0273122
         288    -5.57331    -5.73036   0.0272228
         289    -5.57187    -5.72981   0.0271341
         290    -5.57049    -5.72926   0.0270461
         291    -5.56858    -5.72871   0.0269588
         292    -5.56733    -5.72815   0.0268722
         293    -5.56537     -5.7276   0.0267862
         294    -5.56376    -5.72704   0.0267009
         295    -5.56129    -5.72648   0.0266163
         296    -5.55901    -5.72591   0.0265324
         297    -5.55661    -5.72534   0.0264492
         298    -5.55456    -5.72477   0.0263666
         299    -5.55193    -5.72419   0.0262848
         300    -5.54903    -5.72361   0.0262036
         301    -5.54586    -5.72302   0.0261232
         302    -5.54274    -5.72242   0.0260435
         303    -5.53981    -5.72182   0.0259646
         304    -5.53662    -5.72121   0.0258863
         305    -5.53319    -5.72059   0.0258088
         306    -5.53043    -5.71997   0.0257319
         307    -5.52744    -5.71934   0.0256557
         308    -5.52392    -5.71871   0.0255803
         309     -5.5205    -5.71807   0.0255055
         310    -5.51657    -5.71742   0.0254315
         311     -5.5129    -5.71676   0.0253583
         312    -5.50936    -5.71609   0.0252857
         313    -5.50563    -5.71542   0.0252139
         314     -5.5022    -5.71474   0.0251427
         315     -5.4983    -5.71406   0.0250723
         316    -5.49484    -5.71336   0.0250025
         317    -5.49108    -5.71266   0.0249335
         318    -5.48732    -5.71195   0.0248651
         319    -5.48371    -5.71124   0.0247975
         320    -5.47995    -5.71051   0.0247305
         321    -5.47664    -5.70979   0.0246642
         322    -5.47302    -5.70905   0.0245986
         323    -5.46924    -5.70831   0.0245336
         324    -5.46515    -5.70756   0.0244694
         325     -5.4618     -5.7068   0.0244058
         326    -5.45768    -5.70604   0.0243429
         327     -5.4546    -5.70527   0.0242806
         328    -5.45059    -5.70449   0.0242189
         329    -5.44701    -5.70371    0.024158
         330    -5.44371    -5.70292   0.0240976
         331    -5.44025    -5.70213   0.0240379
         332    -5.43647    -5.70133   0.0239788
         333    -5.43268    -5.70052   0.0239203
         334    -5.42845    -5.69971   0.0238626
         335    -5.42468    -5.69889   0.0238055
         336    -5.42094    -5.69806    0.023749
         337    -5.41695    -5.69722   0.0236932
         338    -5.41301    -5.69638    0.023638
         339    -5.40901    -5.69554   0.0235835
         340    -5.40496    -5.69468   0.0235296
         341    -5.40134    -5.69382   0.0234763
         342    -5.39816    -5.69296   0.0234236
         343    -5.39546    -5.69209   0.0233713
         344    -5.39263    -5.69122   0.0233196
         345    -5.39032    -5.69035   0.0232683
         346    -5.38823    -5.68947   0.0232174
         347    -5.38518     -5.6886   0.0231671
         348    -5.38361    -5.68772   0.0231171
         349    -5.38171    -5.68684   0.0230675
         350    -5.38024    -5.68597   0.0230182
         351    -5.37938    -5.68509   0.0229692
         352    -5.37852    -5.68422   0.0229204
         353    -5.37812    -5.68336   0.0228719
         354    -5.37788    -5.68249   0.0228235
         355     -5.3784    -5.68164   0.0227753
         356    -5.37894    -5.68079   0.0227272
         357    -5.38009    -5.67994   0.0226792
         358    -5.38093    -5.67911   0.0226312
         359    -5.38282    -5.67828   0.0225832
         360    -5.38423    -5.67747   0.0225352
         361    -5.38621    -5.67666   0.0224872
         362    -5.38829    -5.67586   0.0224392
         363    -5.39075    -5.67508   0.0223911
         364    -5.39313     -5.6743    0.022343
         365    -5.39541    -5.67354   0.0222949
         366    -5.39893    -5.67279   0.0222466
         367    -5.40201    -5.67205   0.0221982
         368    -5.40552    -5.67133   0.0221497
         369    -5.40915    -5.67062    0.022101
         370    -5.41212    -5.66992   0.0220524
         371    -5.41562    -5.66923   0.0220036
         372    -5.41917    -5.66856   0.0219547
         373    -5.42291     -5.6679   0.0219057
         374    -5.42651    -5.66725   0.0218566
         375    -5.43026    -5.66662   0.0218075
         376    -5.43385      -5.666   0.0217583
         377    -5.43724     -5.6654    0.021709
         378    -5.44074     -5.6648   0.0216597
         379    -5.44387    -5.66422   0.0216104
         380    -5.44738    -5.66365   0.0215611
         381     -5.4511    -5.66309   0.0215117
         382    -5.45473    -5.66255   0.0214623
         383     -5.4578    -5.66201   0.0214129
         384     -5.4606    -5.66149   0.0213636
         385    -5.46388    -5.66097   0.0213143
         386    -5.46658    -5.66047    0.021265
         387    -5.46884    -5.65997   0.0212158
         388    -5.47171    -5.65949   0.0211667
         389    -5.47368    -5.65901   0.0211176
         390    -5.47579    -5.65854   0.0210687
         391    -5.47759    -5.65808   0.0210199
         392    -5.47997    -5.65762   0.0209712
         393    -5.48187    -5.65718   0.0209226
         394    -5.48342    -5.65674   0.0208742
         395    -5.48523     -5.6563   0.0208258
         396    -5.48652    -5.65587   0.0207776
         397     -5.4876    -5.65545   0.0207296
         398    -5.48815    -5.65503   0.0206818
         399    -5.48876    -5.65461   0.0206342
         400    -5.48852     -5.6542   0.0205868
         401    -5.48817    -5.65378   0.0205396
         402    -5.48817    -5.65337   0.0204926
         403    -5.48776    -5.65296   0.0204459
         404    -5.48632    -5.65255   0.0203995
         405    -5.48537    -5.65214   0.0203533
         406    -5.48431    -5.65172   0.0203073
         407     -5.4827    -5.65131   0.0202617
         408    -5.48115    -5.65089   0.0202163
         409    -5.47908    -5.65047   0.0201712
         410    -5.47681    -5.65005   0.0201265
         411    -5.47451    -5.64962   0.0200821
         412    -5.47192    -5.64919   0.0200379
         413    -5.46921    -5.64875   0.0199942
         414    -5.46658    -5.64831   0.0199507
         415    -5.46332    -5.64787   0.0199076
         416    -5.46036    -5.64742   0.0198649
         417    -5.45806    -5.64696   0.0198224
         418    -5.45523     -5.6465   0.0197803
         419    -5.45329    -5.64604   0.0197385
         420    -5.45135    -5.64558   0.0196969
         421    -5.44946    -5.64511   0.0196556
         422    -5.44747    -5.64464   0.0196146
         423    -5.44616    -5.64417   0.0195739
         424    -5.44449     -5.6437   0.0195334
         425    -5.44336    -5.64323   0.0194931
         426    -5.44232    -5.64276    0.019453
         427    -5.44134    -5.64229   0.0194132
         428    -5.44071    -5.64182   0.0193736
         429    -5.44056    -5.64135   0.0193341
         430     -5.4401    -5.64088   0.0192948
