#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         613     1.08571     1.01289   0.0709536
         614     1.07668       1.013   0.0708381
         615     1.06726     1.01309    0.070723
         616     1.05888     1.01316   0.0706082
         617     1.05175     1.01322   0.0704938
         618     1.04536     1.01327   0.0703798
         619     1.04041     1.01332   0.0702661
         620     1.03539     1.01335   0.0701528
         621     1.03267     1.01339   0.0700398
         622     1.03004     1.01341   0.0699272
         623     1.02791     1.01344    0.069815
         624     1.02694     1.01346   0.0697031
         625      1.0266     1.01348   0.0695916
         626      1.0261      1.0135   0.0694804
         627     1.02659     1.01352   0.0693696
         628     1.02752     1.01354   0.0692591
         629      1.0286     1.01357    0.069149
         630     1.03003     1.01359   0.0690393
         631     1.03175     1.01362   0.0689298
         632       1.033     1.01365   0.0688208
         633     1.03591     1.01369   0.0687121
         634     1.03829     1.01373   0.0686037
         635      1.0418     1.01377   0.0684957
         636     1.04497     1.01382    0.068388
         637     1.04755     1.01387   0.0682807
         638     1.05049     1.01393   0.0681737
         639      1.0533     1.01399    0.068067
         640      1.0567     1.01406   0.0679607
         641     1.05997     1.01413   0.0678547
         642     1.06358     1.01421   0.0677491
         643     1.06681     1.01429   0.0676437
         644     1.07063     1.01437   0.0675388
         645     1.07477     1.01447   0.0674341
         646     1.07828     1.01457   0.0673298
         647     1.08332     1.01467   0.0672258
         648     1.08792     1.01479   0.0671222
         649     1.09137      1.0149   0.0670188
         650     1.09628     1.01503   0.0669159
         651     1.10022     1.01516   0.0668132
         652     1.10412      1.0153   0.0667109
         653     1.10796     1.01544   0.0666089
         654      1.1117     1.01559   0.0665072
         655     1.11581     1.01574   0.0664058
         656     1.11976      1.0159   0.0663048
         657     1.12402     1.01606    0.066204
         658     1.12809     1.01623   0.0661037
         659     1.13147     1.01641   0.0660036
         660     1.13391     1.01659   0.0659038
         661     1.13686     1.01677   0.0658044
         662     1.13912     1.01695   0.0657052
         663     1.14119     1.01714   0.0656064
         664     1.14357     1.01733   0.0655079
         665     1.14532     1.01752   0.0654096
         666     1.14721     1.01772   0.0653117
         667     1.14877     1.01791   0.0652141
         668     1.14983     1.01811   0.0651168
         669     1.15257     1.01831   0.0650197
         670     1.15512     1.01852    0.064923
         671     1.15705     1.01872   0.0648266
         672     1.15886     1.01893   0.0647304
         673     1.16107     1.01914   0.0646346
         674     1.16324     1.01936   0.0645391
         675     1.16538     1.01957   0.0644438
         676     1.16848     1.01979   0.0643489
         677     1.17231     1.02002   0.0642542
         678     1.17592     1.02025   0.0641598
         679     1.17929     1.02048   0.0640658
         680     1.18244     1.02072    0.063972
         681     1.18655     1.02096   0.0638785
         682     1.19111     1.02121   0.0637854
         683     1.19635     1.02147   0.0636925
         684     1.20031     1.02173   0.0635999
         685     1.20536       1.022   0.0635076
         686     1.21075     1.02227   0.0634156
         687     1.21596     1.02256    0.063324
         688     1.22095     1.02285   0.0632326
         689      1.2259     1.02314   0.0631415
         690     1.23103     1.02344   0.0630507
         691     1.23603     1.02375   0.0629602
         692     1.24088     1.02406     0.06287
         693     1.24504     1.02438   0.0627801
         694     1.24823      1.0247   0.0626905
         695     1.25138     1.02503   0.0626011
         696     1.25564     1.02536    0.062512
         697     1.25883      1.0257   0.0624232
         698     1.26186     1.02603   0.0623347
         699     1.26425     1.02638   0.0622465
         700     1.26692     1.02672   0.0621585
         701     1.26794     1.02706   0.0620708
         702     1.26947     1.02741   0.0619833
         703     1.27006     1.02775   0.0618961
         704     1.26996      1.0281   0.0618092
         705      1.2699     1.02844   0.0617224
         706     1.26942     1.02878    0.061636
         707     1.26806     1.02912   0.0615497
         708     1.26609     1.02946   0.0614637
         709      1.2633     1.02979   0.0613779
         710     1.26119     1.03011   0.0612923
         711     1.25884     1.03043   0.0612069
         712      1.2575     1.03075   0.0611218
         713     1.25434     1.03107   0.0610369
         714     1.25158     1.03137   0.0609522
         715     1.24952     1.03168   0.0608677
         716     1.24702     1.03198   0.0607834
         717      1.2439     1.03228   0.0606994
         718     1.24142     1.03257   0.0606155
         719     1.23914     1.03285   0.0605319
         720     1.23762     1.03314   0.0604485
         721     1.23568     1.03342   0.0603653
         722     1.23411      1.0337   0.0602823
         723     1.23271     1.03397   0.0601996
         724      1.2327     1.03425   0.0601171
         725     1.23268     1.03452   0.0600348
         726      1.2329     1.03479   0.0599527
         727     1.23363     1.03507   0.0598709
         728     1.23512     1.03534   0.0597892
         729     1.23713     1.03562   0.0597079
         730     1.24014      1.0359   0.0596267
         731     1.24319     1.03618   0.0595458
         732     1.24673     1.03647   0.0594652
         733     1.25052     1.03676   0.0593848
         734     1.25475     1.03706   0.0593046
         735     1.25917     1.03736   0.0592247
         736     1.26422     1.03767    0.059145
