#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         274    -5.60574    -5.62592   0.0124684
         275    -5.55414    -5.62566   0.0124258
         276    -5.53218    -5.62532   0.0123854
         277    -5.45371     -5.6247   0.0123562
         278    -5.45296    -5.62408   0.0123272
         279    -5.56632    -5.62387   0.0122847
         280    -5.45804    -5.62328   0.0122551
         281     -5.5072    -5.62287   0.0122185
         282    -5.50915    -5.62246   0.0121818
         283     -5.5119    -5.62207    0.012145
         284     -5.4365    -5.62142   0.0121198
         285    -5.33234    -5.62041   0.0121197
         286    -5.42866    -5.61974   0.0120958
         287    -5.40113    -5.61897   0.0120776
         288    -5.48286     -5.6185   0.0120449
         289    -5.51164    -5.61813   0.0120089
         290    -5.55248    -5.61791   0.0119696
         291    -5.65975    -5.61805   0.0119294
         292    -5.65391    -5.61817   0.0118892
         293    -5.57266    -5.61802   0.0118496
         294    -5.63094    -5.61806   0.0118094
         295    -5.56743    -5.61789   0.0117706
         296    -5.55043    -5.61766    0.011733
         297    -5.62124    -5.61767   0.0116935
         298    -5.59834    -5.61761   0.0116545
         299      -5.611    -5.61759   0.0116155
         300    -5.42883    -5.61696   0.0115938
         301     -5.4885    -5.61653   0.0115632
         302    -5.41619    -5.61587   0.0115439
         303    -5.38085    -5.61509   0.0115318
         304    -5.30708    -5.61408   0.0115383
         305    -5.29087    -5.61302    0.011549
         306    -5.37233    -5.61223    0.011538
         307    -5.44857     -5.6117   0.0115128
         308    -5.37985    -5.61095      0.0115
         309    -5.38812    -5.61022   0.0114853
         310    -5.43989    -5.60968   0.0114614
         311    -5.47022    -5.60923   0.0114333
         312    -5.57373    -5.60911   0.0113973
         313    -5.56109    -5.60896   0.0113619
         314     -5.5738    -5.60885   0.0113263
         315    -5.56576    -5.60871   0.0112911
         316    -5.55709    -5.60855   0.0112566
         317    -5.49109    -5.60818   0.0112272
         318    -5.53332    -5.60794   0.0111943
         319    -5.56433     -5.6078   0.0111601
         320     -5.5658    -5.60767    0.011126
         321    -5.46989    -5.60724   0.0110996
         322    -5.36949    -5.60651   0.0110896
         323    -5.31149    -5.60559   0.0110929
         324    -5.42206    -5.60503   0.0110731
         325    -5.53536    -5.60481   0.0110411
         326    -5.58223    -5.60474   0.0110074
         327    -5.41297    -5.60416   0.0109894
         328    -5.45029    -5.60369   0.0109659
         329    -5.45069    -5.60322   0.0109424
         330    -5.41271    -5.60264   0.0109245
         331    -5.45951    -5.60221      0.0109
         332    -5.46962    -5.60181   0.0108745
         333    -5.44958    -5.60136   0.0108514
         334    -5.54791     -5.6012   0.0108201
         335    -5.51238    -5.60093   0.0107911
         336    -5.46504    -5.60053   0.0107665
         337    -5.51061    -5.60026   0.0107379
         338    -5.58586    -5.60022   0.0107062
