# VELOCITY:     ACTUAL_POFV:     AVE_POFV:        ERROR:
      1.3357    0.248675    0.276437   0.0167056
     1.39254    0.246802    0.325485   0.0332052
     1.44938    0.191169     0.32934   0.0428952
     1.50621    0.272541    0.348468   0.0488555
     1.56305     0.44351    0.374967    0.024933
     1.61989    0.314733    0.436545    0.040185
     1.67673    0.469737    0.401643   0.0290254
     1.73357    0.360591    0.417377   0.0476879
     1.79041    0.405227    0.482824   0.0385318
     1.84724    0.375741    0.425875   0.0480425
     1.90408    0.372646    0.437971   0.0242888
     1.96092    0.394638    0.432473   0.0167346
     2.01776    0.487657    0.420608   0.0352005
      2.0746    0.520727    0.413454   0.0297716
     2.13144     0.34316    0.432188   0.0360242
     2.18827    0.456379    0.448831   0.0301017
     2.24511    0.409462    0.401806   0.0225103
     2.30195    0.336318    0.417336   0.0393347
     2.35879    0.316525    0.434197   0.0567224
     2.41563    0.386656    0.453406   0.0347501
     2.47247    0.481711    0.418925   0.0131555
      2.5293    0.443184    0.402539   0.0388132
     2.58614     0.48391    0.373949   0.0285115
     2.64298    0.481711    0.387362   0.0397713
     2.69982    0.292415    0.294397   0.0215642
     2.75666    0.268631    0.338938   0.0249907
      2.8135    0.264477     0.34487   0.0371709
     2.87033    0.302841     0.31605    0.015879
     2.92717    0.202573    0.240258   0.0153251
     2.98401    0.271482    0.236647   0.0196717
     3.04085    0.199396    0.210732   0.0304409
     3.09769    0.152561    0.180037   0.0129382
     3.15453    0.112812    0.187803   0.0296145
     3.21136     0.19011    0.224945   0.0237588
      3.2682    0.273437    0.188278   0.0200634
     3.32504    0.260486    0.211437   0.0347843
     3.38188    0.233851    0.167236   0.0150931
     3.43872     0.21813     0.17758   0.0128011
     3.49556    0.221796    0.216623   0.0321862
     3.55239    0.134071    0.132089   0.0123116
     3.60923    0.175938    0.124894    0.020061
     3.66607    0.153783     0.10335   0.0104382
     3.72291    0.133745    0.133487   0.0263352
     3.77975    0.172028    0.137098   0.0394719
     3.83659     0.17439    0.109119   0.0205569
     3.89342    0.103445   0.0993994   0.0138178
     3.95026    0.179114   0.0917157   0.0205401
      4.0071   0.0812083   0.0868964   0.0204169
     4.06394   0.0742034   0.0698049  0.00823523
     4.12078   0.0738775   0.0655151   0.0103129
     4.17761   0.0575056   0.0764162   0.0125443
     4.23445   0.0463466   0.0508129   0.0112545
     4.29129   0.0395045   0.0853488   0.0186008
     4.34813    0.039586   0.0458714  0.00491174
     4.40497  0.00969286   0.0766334   0.0237622
     4.46181    0.025739   0.0658002   0.0162105
     4.51864 8.14526e-05   0.0350518   0.0107256
     4.57548 8.14526e-05   0.0369116   0.0135333
     4.63232 8.14526e-05   0.0265943  0.00712525
     4.68916 0.000162905   0.0184219  0.00810895
       4.746           0   0.0156525   0.0070612
     4.80284 0.000162905  0.00788733  0.00261026
     4.85967           0  0.00662482  0.00183983
     4.91651 0.000162905   0.0118242  0.00732398
     4.97335 8.14526e-05   0.0078466  0.00233558
     5.03019 0.000162905  0.00595962  0.00157046
     5.08703 8.14526e-05  0.00278297 0.000803918
     5.14387 0.000162905   0.0121364   0.0100826
      5.2007 8.14526e-05   0.0225488   0.0186298
     5.25754 0.000162905  0.00287799  0.00164108
     5.31438 0.000244358  0.00158833 0.000940877
     5.37122 8.14526e-05  0.00116749 0.000992525
     5.42806   0.0106703  0.00374682   0.0021189
      5.4849   0.0435772  0.00914985   0.0063859
     5.54173  0.00236213  0.00528085  0.00440357
     5.59857   0.0030952  0.00133039 0.000796606
     5.65541  0.00480571 0.000800951 0.000731165
   0.0284191           0 8.14526e-05 4.35383e-05
   0.0852574           0 0.000197814 7.69341e-05
    0.142096           0 0.000360719 0.000129425
    0.198934 0.000651621  0.00104725  0.00049653
    0.255772  0.00749364   0.0105656  0.00423892
    0.312611   0.0317665   0.0146964  0.00420612
    0.369449   0.0715969   0.0267863   0.0086774
    0.426287   0.0650807   0.0359439   0.0106007
    0.483126    0.044799   0.0435539  0.00964123
    0.539964   0.0966843   0.0683155   0.0100664
    0.596802    0.105888    0.064557  0.00884785
     0.65364   0.0875616   0.0751342  0.00547485
    0.710479    0.181151   0.0963585   0.0148378
    0.767317    0.184164    0.143415    0.018116
    0.824155    0.308706    0.182547   0.0241452
    0.880994     0.20632    0.179801   0.0259917
    0.937832     0.21365    0.183757   0.0215369
     0.99467    0.147511    0.216548   0.0384407
     1.05151    0.194265    0.196243   0.0145893
     1.10835    0.295673    0.260416   0.0238834
     1.16519    0.236213     0.25298   0.0210816
     1.22202    0.204528     0.24608   0.0319076
     1.27886    0.258042    0.313151   0.0326756
      1.3357    0.315222    0.281977   0.0152102
     1.39254    0.273599    0.318073   0.0292772
     1.44938    0.261056    0.319585   0.0378603
     1.50621     0.46542    0.365175   0.0446416
     1.56305     0.47438    0.389169   0.0250919
     1.61989    0.288261    0.415362   0.0396364
     1.67673    0.345278    0.393591   0.0259718
     1.73357    0.365722    0.409998   0.0414423
     1.79041    0.446523    0.477638   0.0333744
     1.84724    0.517387    0.438948   0.0429211
     1.90408    0.539868    0.452528   0.0248003
     1.96092    0.407752    0.428941   0.0147118
     2.01776    0.407833    0.418783   0.0302192
      2.0746    0.394882    0.410801   0.0256365
     2.13144    0.345196     0.41976   0.0329518
     2.18827    0.521134     0.45916   0.0275166
     2.24511    0.433002    0.406263   0.0197308
